order_id,cust_id,amount,status,order_date,updated_at
100177,,-301.54,cancelled,09/12/2026,2026-09-13 08:00:00
100178,C8502,6.12,delivered,2026-09-13,2026-09-14 03:00:00
100179,C3371,434.08,placed,2026-08-28,2026-09-11 08:00:00
100180,C1801,407.92,returned,2026-09-09,2026-09-09 07:00:00
100181,C5831,104.54,shipped,08/24/2026,2026-09-17 05:00:00
100182,C8918,12.78,placed,2026-09-05,2026-09-05 12:00:00
100183,C5552,239.96,placed,09/08/2026,2026-09-15 11:00:00
100184,C5074,180.75,delivered,08/27/2026,2026-08-27 05:00:00
100185,C8918,249.99,shipped,2026-09-10,2026-09-16 00:00:00
100186,C3884,346.43,delivered,2026-09-10,2026-09-14 09:00:00
100187,C2022,197.09,delivered,2026-09-05,2026-09-14 23:00:00
100188,C5552,438.31,returned,09/17/2026,2026-09-17 22:00:00
100189,C7893,301.99,delivered,2026-09-14,2026-09-14 23:00:00
100190,C3755,303.55,shipped,2026-09-07,2026-09-15 06:00:00
100191,C5552,434.35,cancelled,2026-09-09,2026-09-16 00:00:00
100192,C3005,23.79,delivered,08/28/2026,2026-09-16 15:00:00
100193,C5552,419.98,shipped,2026-09-01,2026-09-10 13:00:00
100194,C2647,58.79,delivered,2026-09-02,2026-09-15 23:00:00
100195,C2283,180.75,shipped,09/16/2026,2026-09-16 16:00:00
100196,C3005,102.54,shipped,08/24/2026,2026-09-16 00:00:00
100197,C7582,32.86,shipped,2026-09-11,2026-09-11 01:00:00
100198,C2022,249.99,placed,2026-08-30,2026-09-13 12:00:00
100199,C4532,102.54,delivered,08/24/2026,2026-08-28 05:00:00
100200,C6468,340.45,placed,2026-09-05,2026-09-10 03:00:00
100044,C2838,301.54,delivered,2026-09-02,2026-09-18 13:00:00
100174,C7582,58.79,delivered,2026-08-25,2026-09-05 00:00:00
